dialect,translation,(language/dialect)
ekpan,forbidden,(generic Ibibio)
ekpan,warned,(generic Ibibio)
ekpan,noose,(generic Ibibio)
ayid,locked,(generic Ibibio)
udukekpan,hangman noose,(generic Ibibio)
ayid,tears,(generic Ibibio)
ayire,locked,(generic Ibibio)
yid,lock,(generic Ibibio)
ayot,tears,(generic Ibibio)
eyet,tears,(Efik-Ibibio)
tua,cry,(generic Ibibio)
ndap,dream,(generic Ibibio)
ekutimme,do not go back,(generic Ibibio)
ekuutimme,do not go back,(generic Ibibio)
ekekit,to see,(generic Ibibio)
timme,go back,(generic Ibibio)
ku,do not,(generic Ibibio)
idoho,not so,(generic Ibibio)
kit,see,(generic Ibibio)
mana,again,(generic Ibibio)
tre,stop,(generic Ibibio)
aba,stall,(generic Ibibio)
emaesanga usung mfen,they took another route,(generic Ibibio)
emaesanga,they walked,(generic Ibibio)
usung,road,(generic Ibibio)
usung,route,(generic Ibibio)
efak,street,(generic Ibibio)
mfen,another,(generic Ibibio)
dian,add,(generic Ibibio)
enyong obio mmo,returned to their country,(generic Ibibio)
enyong,left,(generic Ibibio)
adi,came,(generic Ibibio)
obio,country,(Efik-Ibibio)
obio,land,(Efik-Ibibio)
obio,city,(Efik-Ibibio)
mmo,theirs,(Efik-Ibibio)
ammo,theirs,(generic Ibibio)
abio,country,(generic Ibibio)
abio,land,(generic Ibibio)
abio,city,(generic Ibibio)
emaekeyongo,when they left,(generic Ibibio)
yong,left,(generic Ibibio)
yong,go home,(generic Ibibio)
yongo,gone,(generic Ibibio)
emaekeyongo,when they were gone,(generic Ibibio)
awut,showed,(Efik-Ibibio)
awot,showed,(generic Ibibio)
wut,show,(Efik-Ibibio)
wot,show,(generic Ibibio)
idem,self,(generic Ibibio)
idem,body,(generic Ibibio)
dakka,be going,(generic Ibibio)
dakka,be gone,(generic Ibibio)
ben,take,(generic Ibibio)
feghe,run,(generic Ibibio)
feghe,flee,(generic Ibibio)
udoko,told,(generic Ibibio)
doko,tell,(generic Ibibio)
kene,follow,(generic Ibibio)
akene,it follows,(generic Ibibio)
akene,he follows,(generic Ibibio)
akene,she follows,(generic Ibibio)
ekene,they follow,(generic Ibibio)
nko,also,(generic Ibibio)
"ama'fon eka idim, aboyo nkok.",the good of the main stream translates to the good of its tributaries ,(generic Ibibio)
ndinóngó item afere afon nangha edisinne ikpang.,recipe guidance for the broth should be prior to stirring the pot,(generic Ibibio)
eban uno akpenghe ke isong,they keep sharpening for you to blunt it by striking the ground,(generic Ibibio)
ame kpono ndip ukot akan ifukko.,you are respecting (honouring) your calf muscle more than your tighs,(generic Ibibio)
idung isimaha owo ima.,the community (society) do not love you ends,(generic Ibibio)
ikpe nyan inua unam esie ekpe ke afe udûk iköd.,reptilian cases are deliberated in the snake court,(generic Ibibio)
"ebo akporo nangha unen atòrö ke ase kuoko efúd, nangha mmi mfañ akpakweñe k'ikòd.",if the the fowls were to wipe their anus after droppings there would have been no more leaves on trees,(generic Ibibio)
"edim akpetûk anyen aboñ aditan, edikuokoke idod.",the rains might keep falling but editan does not lose its bitterness,(generic Ibibio)
ebo ke idoho nke awo asasaña kusûñ ananna ayen ndien ediöñô ke nnanayen asim anye nko,not until one walks about eyes wide opened can it be said that one has seen trouble,(generic Ibibio)
akan ndak ukot akedo akpin.,the fermented palmwine was once fresh,(generic Ibibio)
suop ye nsun idoho ama.,the soap and housefly are not lovers,(generic Ibibio)
ayop afon ifang atongno ke uten.,the good yield palm bunches are seen from their tree health,(generic Ibibio)
aboyo iso amono eyin idim.,the first in line sees the colour of the stream,(generic Ibibio)
eyen uwuene ase atongo ndien ke ekwong.,the poor child sumptuous meals begins with snail as meat,(generic Ibibio)
idoho daha eyen abre ke eba esit eka kebre ke ekpah mfed ette.,a child can play with the mother's breast and not with the father's testicles,(generic Ibibio)
akpan aminama nte aya ana wan ette owo se idoho wan ino.,if the first son does not threaten to sleep with his stepmom he is not granted to take a wife,(generic Ibibio)
akpa eyen ufoknwed okpok aketo odo.,the lizard was always the first in school,(generic Ibibio)
nduk akpakpa ye ekpu.,such association of corn with the rat,(generic Ibibio)
nyin itiat ase ana nte eka ana.,the stone is stays with the rock,(generic Ibibio)
mikpiidoho uso akpa adiongo uka.,if not for your dad how would you know your mom,(generic Ibibio)
owo imaha eka ikpong akema nkok.,one does not love the cocoyam tuber much less love its finger,(generic Ibibio)
asanga ase adia nte aka.,a wanderer eats along the way,(generic Ibibio)
ama otodoh ado ama kwuoko efod.,when you are done pooing clean your anus,(generic Ibibio)
ekuwod owo uko mbak usen mkpo ata.,save the valiant for the day of reckoning,(generic Ibibio)
akwa ikang oyom akwa ofob.,great fire serves the great offering,(generic Ibibio)
ikpong ibiete akumadia.,why eat undone cocoyan,(generic Ibibio)
afaha nte enin ikpong ibenneke.,heavy as an elephant one cannot lift it,(generic Ibibio)
eyen ufok ifiok isikongoke ekpat ufien.,the handbag of a wisdom apprentice is hung rightly,(generic Ibibio)
iwat ama iwat.,the aged loves the aged,(generic Ibibio)
idip adat ndok ono edem.,it is the belly that brings shame to the back,(generic Ibibio)
umeukak anam ibikpot akprak k'ebuk.,longsuffering makes the corn pop under heat,(generic Ibibio)
anie enyen owo k'otu mme nnan ade obong.,the sighted is lord (king) amongst the blind,(generic Ibibio)
anek unek idiongoke nagha edem iba.,the dancer does not know the posture of her back,(generic Ibibio)
etongo k'idap ekpep mkpa.,we learn of death in sleep,(generic Ibibio)
akpere mm'adiongho k'ekwong ayayong mkpa k'emum nkuup.,if i had known the snail will go i would have had it covered,(generic Ibibio)
ama mbre ewa k'ewa awak ofong.,who loves to play with a dog is one whose clothes are torn by the dog,(generic Ibibio)
k'usiik adanga eset.,do not lift the ancient beacon stone,(generic Ibibio)
owo ade inyene.,people is wealth,(generic Ibibio)
kpa nanam ino iyipe idem.,a thief does not steal from himself,(generic Ibibio)
ekpu aboko afia ase fefehe inonongho eto.,a rat that escaped a noose trap avoids bended trees,(generic Ibibio)
nkirikit idoho asen ke akai.,the owl is not stranger in the forest,(generic Ibibio)
"mbogho owo kukpa, mbogho obio ekpo ana nkaña.","i won't say don't die, i won't say let hades be empty",(generic Ibibio)
etok unên tim dia-dia tim diduk.,young fowl eat well out and come home safe,(generic Ibibio)
akpaisong wet daga nkuwet.,army ant draw as i drew yours,(generic Ibibio)
akadang idoho nka ye ekid.,the blade is no peer with the axe,(generic Ibibio)
abiawen asine ke otu ukwak.,the needle is also an iron,(generic Ibibio)
akara nkara isine ubok ke ekpad akara nkara.,the trickster does not dip his hands in another trickster's handbag,(generic Ibibio)
ino otoh ino itah.,a thief beating another thief,(generic Ibibio)
"ideghe usen etipeke abe,ke nfod ase duo adok.",it is not the day the well is dug that the frog jumps in,(Annang-Ibibio)
"ayen akud ete,isidehe nsek.",the child who knows his father is not a baby,(Annang-Ibibio)
"ekpe kiene inua ewa, owo ikpi itaha ewa",if the dogs mouth should be a factor in one would not eat its meat,(Annang-Ibibio)
inna amma anem abaikpa ke ase abbene ukod akong ke ayong.,it is only when a young girl loves the sex that she lifts her leg up,(Annang-Ibibio)
ono owo ndok itreke idia ibio.,one who shames another shares a part in it,(generic Ibibio)
iko kiet akem anie ibuot owo.,a word is enough for a wise,(Efik-Ibibio)
usen eka afim ke se kid efut unen.,on a windy day we see the fowls anus,(generic Ibibio)
ewa atoyo se ke adia akoro inua.,the dog licks its lips when it recalls a certain meal,(generic Ibibio)
eka,mother,(generic Ibibio)
ette,father,(generic Ibibio)
unie,parents,(generic Ibibio)
anwan,wife,(generic Ibibio)
ebe,husband,(generic Ibibio)
ayiniden,son,(generic Ibibio)
ayiniban,daughter,(generic Ibibio)
ndito,children,(generic Ibibio)
ayakaiden,brother,(generic Ibibio)
ayakaiban,sister,(generic Ibibio)
nditoeka,siblings,(generic Ibibio)
ndito nyeyen,cousins,(generic Ibibio)
ayaka,relatives,(generic Ibibio)
ayinayakaiden,nephew,(generic Ibibio)
ayinayaiban,niece,(generic Ibibio)
mme nsobom,grandparents,(generic Ibibio)
ekam,grandmother,(generic Ibibio)
etebom,grandfather,(generic Ibibio)
nyeyeniden,grandson,(generic Ibibio)
nyeyeniban,granddaughter,(generic Ibibio)
nditondito,grandchildren,(generic Ibibio)
adansanga,spouse,(generic Ibibio)
ete ndo,father-in-law,(generic Ibibio)
eka ndo,mother-in-law,(generic Ibibio)
ette nyin emi odude ke heaven,our father in heaven,(Efik-Ibibio)
nam nyin ikpono aying mfo,hallowed be your name,(Efik-Ibibio)
ini ubong mfo edi,your kingdom come,(Efik-Ibibio)
yak inam uduak mfo,your will be done,(generic Ibibio)
ke isong nte enamde ke heaven,on earth as in heaven,(Efik-Ibibio)
no nyoin udia ekekemde nyin ke usen,give us today our daily bread,(Efik-Ibibio)
daha do no me idiok mkpo nyin,forgive us our sins,(Efik-Ibibio)
nte nyin idahade ino mmo eke namde nyin idiok,as we forgive those who sin against us,(Efik-Ibibio)
kuda nyin usin ke idomo edi sio nyin ke idiok,lead us not into temptation but deliver us from evil,(Efik-Ibibio)
"koro obioubong, odudu ye ubong enie fi ke emi ye ke nsinsi","for the kingdom, the power, and the glory are yours now and forever",(Efik-Ibibio)
obioubong,kingdom,(Efik-Ibibio)
odudu,power,(Efik-Ibibio)
ubong,glory,(Efik-Ibibio)
nsinsi,forever,(Efik-Ibibio)
inwek,breath,(generic Ibibio)
inwek,strength,(generic Ibibio)
inwek,power,(generic Ibibio)
ebot,goat,(generic Ibibio)
ufene,cattle,(generic Ibibio)
enang,cow,(generic Ibibio)
enang,horse,(generic Ibibio)
ekpu,rat,(generic Ibibio)
eku,mouse,(Annang-Ibibio)
usine,mouse,(generic Ibibio)
adua,squirrel,(generic Ibibio)
ewa,dog,(generic Ibibio)
ebua,dog,(Efik-Ibibio)
anwa,cat,(generic Ibibio)
erong,sheep,(generic Ibibio)
edi,pig,(generic Ibibio)
ekpe,leopard,(generic Ibibio)
ekpe,cheetah,(generic Ibibio)
nyamekpe,lion,(generic Ibibio)
enin,elephant,(generic Ibibio)
ebok,monkey,(generic Ibibio)
idiok,chimpanzee,(generic Ibibio)
omonidiok,gorilla,(generic Ibibio)
ekwong,snail,(generic Ibibio)
udukikod,snake,(generic Ibibio)
urukikot,snake,(Efik-Ibibio)
okpok,lizard,(Efik-Ibibio)
akpok,lizard,(generic Ibibio)
afiom,crocodile,(generic Ibibio)
effiom,crocodile,(Efik-Ibibio)
iquod,frog,(generic Ibibio)
utai,alligator,(generic Ibibio)
unen,fowl,(generic Ibibio)
unen,chicken,(generic Ibibio)
awowo,duck,(generic Ibibio)
ikid mmong,turtle,(generic Ibibio)
ikid,tortoise,(generic Ibibio)
ekongabukayop,crow,(generic Ibibio)
utere,vulture,(generic Ibibio)
ndukpo,hawk,(generic Ibibio)
ntrukpom,sea eagle,(generic Ibibio)
akukwo,falcon,(generic Ibibio)
akpaisong,fire ant,(generic Ibibio)
mkpoikot,soldier ant,(generic Ibibio)
utung,worm,(generic Ibibio)
ukpongayin,gecko,(generic Ibibio)
mfem,cockroach,(generic Ibibio)
atad,wasp,(generic Ibibio)
nsung,housefly,(generic Ibibio)
mkpuk,sandfly,(generic Ibibio)
abong,mosquito,(generic Ibibio)
ntinya,fruitfly,(generic Ibibio)
akwok,bee,(generic Ibibio)
ufadikang,water scorpion,(generic Ibibio)
isobo,crab,(generic Ibibio)
nkang,centipede,(generic Ibibio)
etim,millipede,(generic Ibibio)
ayud,cane rat,(generic Ibibio)
mkpekpem,bat,(generic Ibibio)
nkidikid,owl,(generic Ibibio)
ndube,winged termites,(generic Ibibio)
ebunkakad,termites colony,(generic Ibibio)
ebu,termites,(generic Ibibio)
iyak,fish,(generic Ibibio)
nkakad,termite,(generic Ibibio)
inagha,catfish,(generic Ibibio)
adiaha,first daughter,(generic Ibibio)
